date,description,amount,type
2024-01-02,Grocery Store,85.40,expense
2024-01-03,Netflix Subscription,15.99,expense
2024-01-04,Salary Deposit,3500.00,income
2024-01-05,Electric Bill,120.00,expense
2024-01-06,Restaurant Dinner,62.50,expense
2024-01-07,Gas Station,45.00,expense
2024-01-09,Amazon Purchase,134.99,expense
2024-01-10,Gym Membership,39.99,expense
2024-01-12,Grocery Store,92.10,expense
2024-01-14,Coffee Shop,18.75,expense
2024-01-15,Rent Payment,1200.00,expense
2024-01-16,Pharmacy,34.20,expense
2024-01-18,Online Shopping,210.00,expense
2024-01-20,Restaurant Lunch,28.40,expense
2024-01-22,Grocery Store,77.30,expense
2024-01-24,Uber Ride,22.00,expense
2024-01-25,Streaming Service,8.99,expense
2024-01-26,Insurance Premium,180.00,expense
2024-01-28,Coffee Shop,14.50,expense
2024-01-30,ATM Withdrawal,200.00,expense
2024-02-01,Grocery Store,95.60,expense
2024-02-03,Salary Deposit,3500.00,income
2024-02-04,Internet Bill,55.00,expense
2024-02-05,Restaurant Dinner,74.00,expense
2024-02-06,Gas Station,50.00,expense
2024-02-08,Clothing Store,189.99,expense
2024-02-10,Coffee Shop,21.00,expense
2024-02-12,Grocery Store,88.40,expense
2024-02-14,Valentine Dinner,145.00,expense
2024-02-15,Rent Payment,1200.00,expense
2024-02-17,Pharmacy,28.50,expense
2024-02-19,Amazon Purchase,67.99,expense
2024-02-21,Gym Membership,39.99,expense
2024-02-23,Grocery Store,81.20,expense
2024-02-25,Movie Tickets,32.00,expense
2024-02-26,Streaming Service,15.99,expense
2024-02-27,Electric Bill,115.00,expense
2024-02-28,Coffee Shop,16.75,expense
2024-03-01,Salary Deposit,3500.00,income
2024-03-02,Grocery Store,102.30,expense
2024-03-04,Gas Station,48.00,expense
2024-03-05,Restaurant Dinner,55.00,expense
2024-03-07,Online Course,199.00,expense
2024-03-09,Coffee Shop,19.50,expense
2024-03-11,Grocery Store,89.70,expense
2024-03-13,Uber Ride,18.00,expense
2024-03-15,Rent Payment,1200.00,expense
2024-03-16,Phone Bill,65.00,expense
2024-03-18,Amazon Purchase,95.49,expense
2024-03-20,Restaurant Lunch,35.00,expense
2024-03-22,Grocery Store,78.90,expense
2024-03-24,Gym Membership,39.99,expense
2024-03-25,Streaming Service,8.99,expense
2024-03-27,Insurance Premium,180.00,expense
2024-03-29,Coffee Shop,22.00,expense
2024-03-30,Pharmacy,41.30,expense
2024-04-01,Salary Deposit,3500.00,income
2024-04-02,Grocery Store,110.40,expense
2024-04-04,Electric Bill,108.00,expense
2024-04-05,Restaurant Dinner,89.00,expense
2024-04-07,Gas Station,52.00,expense
2024-04-09,Clothing Store,245.00,expense
2024-04-11,Coffee Shop,17.25,expense
2024-04-13,Grocery Store,93.60,expense
2024-04-15,Rent Payment,1200.00,expense
2024-04-17,Amazon Purchase,178.99,expense
2024-04-19,Gym Membership,39.99,expense
2024-04-21,Restaurant Lunch,42.00,expense
2024-04-23,Grocery Store,86.10,expense
2024-04-25,Streaming Service,15.99,expense
2024-04-27,Internet Bill,55.00,expense
2024-04-29,Coffee Shop,20.50,expense
